rank,NAME,actual_eur_m,predicted_eur_m,gap_pct,top_positive_1,top_positive_2,top_positive_3,top_negative_1,top_negative_2,top_negative_3
1,Andrei Ratiu,18.0,4.593750566903508,-74.47916351720274,MINS=0.249,CONTRACT_YEARS_LEFT=0.044,CAR_ENDED WITH ASSIST=0.043,CLUB_STRENGTH=-0.564,Age=-0.116,LEAGUE_Premier League=-0.051
2,Tylel Tati,25.0,6.415845210032874,-74.3366191598685,Age=0.244,CONTRACT_YEARS_LEFT=0.093,CAR_TOTAL (ALL CARRIES)=0.035,CLUB_STRENGTH=-0.544,LEAGUE_Premier League=-0.042,ATT_XG=-0.024
3,Arthur Vermeeren,22.0,5.865593533344549,-73.33821121207023,Age=0.225,PAS_SUCCESSFUL (FINAL THIRD PASSES)=0.082,PAS_SUCCESSFUL (OPEN PLAY PASSES)=0.036,CLUB_STRENGTH=-0.521,MINS=-0.147,DEF_POS WON=-0.039
4,Marquinhos,28.0,8.045886149940346,-71.26469232164163,CLUB_STRENGTH=0.494,PAS_SUCCESSFUL (OPEN PLAY PASSES)=0.087,PAS_TOTAL (OPEN PLAY PASSES)=0.055,Age=-0.713,MINS=-0.080,LEAGUE_Premier League=-0.026
5,Loïs Openda,32.0,9.294708151713236,-70.95403702589613,CLUB_STRENGTH=0.184,Age=0.120,ATT_XG=0.045,MINS=-0.170,CAR_AVG (M) (PROGRESSIVE)=-0.080,LEAGUE_Premier League=-0.044
6,Yáser Asprilla,14.0,4.074461298659392,-70.89670500957578,Age=0.197,CONTRACT_YEARS_LEFT=0.044,DEF_CLEARANCES=0.027,CLUB_STRENGTH=-0.510,MINS=-0.189,CAR_AVG (M) (PROGRESSIVE)=-0.074
7,Jadon Sancho,18.0,5.351471865510052,-70.26960074716638,LEAGUE_Premier League=0.232,PAS_TOTAL (FINAL THIRD PASSES)=0.079,PAS_SUCCESSFUL (FINAL THIRD PASSES)=0.042,CLUB_STRENGTH=-0.650,MINS=-0.117,CAR_AVG (M) (PROGRESSIVE)=-0.048
8,Lucas Paquetá,32.0,9.751195177748132,-69.52751506953709,LEAGUE_Premier League=0.186,PAS_THROUGH BALLS=0.060,CONTRACT_YEARS_LEFT=0.051,Age=-0.191,CLUB_STRENGTH=-0.122,PAS_% (FINAL THIRD PASSES)=-0.025
9,Chrislain Matsima,22.0,6.769723329356141,-69.22853032110845,Age=0.159,CONTRACT_YEARS_LEFT=0.040,CAR_AVG (M) (PROGRESSIVE)=0.035,CLUB_STRENGTH=-0.229,LEAGUE_Premier League=-0.055,MINS=-0.053
10,Youssouf Fofana,25.0,7.962070387199201,-68.1517184512032,MINS=0.122,PAS_THROUGH BALLS=0.068,CAR_AVG (M) (PROGRESSIVE)=0.033,CLUB_STRENGTH=-0.280,LEAGUE_Premier League=-0.038,CONTRACT_YEARS_LEFT=-0.025
