rank,NAME,actual_eur_m,predicted_eur_m,gap_pct,top_positive_1,top_positive_2,top_positive_3,top_negative_1,top_negative_2,top_negative_3
1,André Silva,3.0,15.969410067253353,432.3136689084451,CLUB_STRENGTH=0.443,ATT_XG=0.106,ATT_GOALS=0.083,Age=-0.183,LEAGUE_La Liga=-0.053,CONTRACT_YEARS_LEFT=-0.032
2,Filippo Terracciano,4.5,22.999451303019313,411.09891784487365,CLUB_STRENGTH=0.423,Age=0.271,MINS=0.250,LEAGUE_Premier League=-0.043,CONTRACT_YEARS_LEFT=-0.027,PAS_TOTAL (CROSSES)=-0.024
3,Ivan Smolcic,3.5,15.091915043352692,331.1975726672198,CLUB_STRENGTH=0.503,Age=0.127,CONTRACT_YEARS_LEFT=0.056,POSITION_FB=-0.077,CAR_TOTAL (ALL CARRIES)=-0.034,LEAGUE_Premier League=-0.031
4,Mateo Joseph,3.5,14.817240730925846,323.3497351693099,CLUB_STRENGTH=0.432,Age=0.219,PAS_% (FINAL THIRD PASSES)=0.018,LEAGUE_La Liga=-0.077,LEAGUE_Premier League=-0.041,CONTRACT_YEARS_LEFT=-0.030
5,Giovanni Reyna,4.0,15.429816713919362,285.745417847984,CLUB_STRENGTH=0.296,Age=0.216,CONTRACT_YEARS_LEFT=0.075,MINS=-0.173,LEAGUE_Premier League=-0.039,CAR_AVG (M) (PROGRESSIVE)=-0.037
6,Riccardo Sottil,3.0,11.178184396315116,272.6061465438372,CLUB_STRENGTH=0.309,Age=0.066,CAR_TOTAL (ALL CARRIES)=0.046,MINS=-0.089,CAR_AVG (M) (ALL CARRIES)=-0.057,LEAGUE_Premier League=-0.045
7,Adama Boiro,2.5,8.529823918246004,241.19295672984018,CLUB_STRENGTH=0.230,Age=0.187,PAS_TOTAL (FINAL THIRD PASSES)=0.013,MINS=-0.155,LEAGUE_La Liga=-0.046,LEAGUE_Premier League=-0.044
8,Sékou Mara,4.0,13.282261005863951,232.05652514659877,CLUB_STRENGTH=0.232,Age=0.161,DEF_CLEARANCES=0.036,MINS=-0.106,CAR_TOTAL (ALL CARRIES)=-0.050,LEAGUE_Premier League=-0.049
9,Sadibou Sané,7.0,22.743460339632172,224.90657628045957,CLUB_STRENGTH=0.293,Age=0.254,CONTRACT_YEARS_LEFT=0.090,LEAGUE_Premier League=-0.031,PAS_SUCCESSFUL (FINAL THIRD PASSES)=-0.020,ATT_XG PER SHOT=-0.018
10,Gianluca Gaetano,6.5,19.98514190803988,207.46372166215198,CLUB_STRENGTH=0.440,Age=0.169,CONTRACT_YEARS_LEFT=0.107,LEAGUE_Premier League=-0.036,ATT_XG=-0.015,ATT_GOALS=-0.015
