CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
1.FC Köln,OK,1.FC Köln,Bundesliga,156.1,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3
1.FC Union Berlin,OK,1.FC Union Berlin,Bundesliga,115.78,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89
AC Milan,OK,AC Milan,Serie A,474.35,https://www.transfermarkt.com/ac-mailand/startseite/verein/5
ACF Fiorentina,OK,ACF Fiorentina,Serie A,322.75,https://www.transfermarkt.com/ac-florenz/startseite/verein/430
AFC Bournemouth,OK,AFC Bournemouth,Premier League,574.55,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989
AJ Auxerre,OK,AJ Auxerre,Ligue 1,91.2,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290
AS Monaco,OK,AS Monaco,Ligue 1,314.65,https://www.transfermarkt.com/as-monaco/startseite/verein/162
AS Roma,OK,AS Roma,Serie A,476.6,https://www.transfermarkt.com/as-rom/startseite/verein/12
Arsenal FC,OK,Arsenal FC,Premier League,1330.0,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11
Aston Villa,OK,Aston Villa,Premier League,572.5,https://www.transfermarkt.com/aston-villa/startseite/verein/405
Atalanta BC,OK,Atalanta BC,Serie A,436.05,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800
Athletic Bilbao,OK,Athletic Bilbao,LaLiga,231.0,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
Atlético de Madrid,OK,Atlético de Madrid,LaLiga,679.7,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13
Bayer 04 Leverkusen,OK,Bayer 04 Leverkusen,Bundesliga,480.95,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15
Bayern Munich,OK,Bayern Munich,Bundesliga,1040.0,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27
Bologna FC 1909,OK,Bologna FC 1909,Serie A,218.25,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025
Borussia Dortmund,OK,Borussia Dortmund,Bundesliga,564.45,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16
Brentford FC,OK,Brentford FC,Premier League,584.8,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148
Brighton & Hove Albion,OK,Brighton & Hove Albion,Premier League,603.5,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237
