NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS,Age,Market Value (m/€),LEAGUE_Bundesliga,LEAGUE_La Liga,LEAGUE_Ligue 1,LEAGUE_Multi-league,LEAGUE_Premier League,LEAGUE_Serie A
Erling Haaland,0.6410256410256411,0.8445807770961146,0.6029411764705882,0.7623762376237624,0.5714285714285714,0.7584158415841584,0.7114624505928855,0.642964296429643,0.6060606060606061,0.0277264325323475,0.03847258110824003,0.5606060606060608,0.04851157662624036,0.09999999999999999,0.08695652173913043,0.36893203883495146,0.5454545454545454,0.09999999999999999,0.0,0.08800000000000001,0.053571428571428575,0.06781914893617022,0.023622047244094488,0.13837837837837838,0.12473721093202525,0.10485933503836316,0.4971857410881801,0.2589217919514047,0.36333878887070375,0.619,0.025046554934823086,0.008597948216902783,0.18783068783068768,0.06101281269066504,0.04818410643653361,0.3886925795053004,0.014563106796116505,0.01875,0.33299999999999996,0.1232876712328767,0.37037037037037035,220.0,False,False,False,False,True,False
Lamine Yamal,0.46153846153846156,0.6094069529652352,0.463235294117647,0.504950495049505,0.6857142857142857,0.9188118811881187,0.5810276679841898,0.41044104410441046,0.3333333333333333,0.7301293900184842,0.7628481194372667,0.46969696969696967,0.7546857772877618,0.6644628099173553,0.13043478260869568,0.9611650485436893,0.8484848484848485,0.7944444444444444,0.5128205128205129,0.33599999999999997,0.14285714285714288,0.42420212765957455,0.0,0.012972972972972972,1.0,1.0,0.6378986866791745,0.0015186028853454835,0.0,0.0,0.4147113594040968,0.3577918905715681,0.5978835978835978,0.8071995118974985,0.7428982380438689,0.6978798586572439,0.4110032362459547,0.44375,0.281,0.5958904109589042,0.1111111111111111,220.0,False,True,False,False,False,False
Kylian Mbappé,0.5384615384615384,0.7239263803680982,0.6323529411764706,0.8217821782178217,0.5571428571428572,1.0,0.8616600790513835,0.5136513651365137,0.48484848484848486,0.34750462107208874,0.4289405684754522,0.6969696969696969,0.3439911797133407,0.42768595041322316,0.1739130434782609,0.6359223300970874,0.5151515151515151,0.3833333333333333,0.07692307692307691,0.002666666666666669,0.025000000000000005,0.10372340425531916,0.0,0.0,0.46110721793973364,0.4053708439897698,0.5253283302063789,0.012908124525436597,0.0392798690671031,0.7,0.23743016759776536,0.22510991695163654,0.7407407407407408,0.5292861500915192,0.5573534699748293,0.8374558303886928,0.14563106796116507,0.13124999999999998,0.231,0.1643835616438356,0.4444444444444444,200.0,False,True,False,False,False,False
Michael Olise,0.5641025641025641,0.6261077027948193,0.42647058823529405,0.44554455445544555,0.7000000000000001,0.7762376237623763,0.766798418972332,0.44554455445544555,0.3333333333333333,0.6947011706715959,0.7723227103072065,0.5606060606060608,0.649393605292172,0.49793388429752067,0.13043478260869568,0.8883495145631068,0.9393939393939393,0.6666666666666666,1.0,0.21333333333333335,0.17857142857142858,0.4175531914893617,0.031496062992125984,0.03783783783783783,0.7035739313244569,0.6138107416879794,0.5215759849906192,0.048595292331055424,0.05073649754500818,0.381,0.4794227188081936,0.4307767464582316,0.6772486772486771,0.9975594874923734,0.9769866954332973,0.7862190812720848,0.4207119741100324,0.38749999999999996,0.239,0.5821917808219178,0.3333333333333333,170.0,True,False,False,False,False,False
Jude Bellingham,0.46153846153846156,0.4897750511247444,0.2058823529411765,0.33663366336633666,0.41428571428571426,0.4732673267326733,0.4822134387351779,0.35283528352835286,0.42424242424242425,0.4433148490449784,0.4430089003732415,0.3939393939393939,0.3169790518191841,0.2962809917355372,0.1739130434782609,0.2961165048543689,0.2727272727272727,0.2111111111111111,0.23076923076923075,0.6026666666666667,0.23571428571428574,0.5571808510638298,0.07086614173228346,0.09189189189189188,0.6720392431674842,0.7365728900255754,0.7110694183864917,0.20349278663629458,0.26841243862520453,0.574,0.43081936685288635,0.41533952125061063,0.8121693121693123,0.5286760219646125,0.5472851492268967,0.8162544169611309,0.12135922330097088,0.11875,0.25,0.13013698630136986,0.25925925925925924,160.0,False,True,False,False,False,False
Pedri,0.48717948717948717,0.55453306066803,0.06617647058823528,0.06930693069306931,0.5285714285714286,0.17821782178217824,0.1699604743083004,0.28562856285628563,0.21212121212121213,0.8280961182994454,0.8222796439850704,0.3939393939393939,0.7078280044101433,0.6033057851239669,0.13043478260869568,0.1650485436893204,0.2727272727272727,0.45,0.7692307692307692,0.536,0.3678571428571429,0.8271276595744681,0.07086614173228346,0.10594594594594595,0.5178696566222845,0.5997442455242966,0.75046904315197,0.02505694760820046,0.07037643207855973,0.833,0.7336126629422719,0.7191011235955056,0.8756613756613756,0.8944478340451494,0.9507371449119021,0.8922261484098941,0.09061488673139159,0.13124999999999998,0.385,0.6164383561643836,0.2962962962962963,150.0,False,True,False,False,False,False
Khvicha Kvaratskhelia,0.46153846153846156,0.34185412406271304,0.36029411764705876,0.4752475247524752,0.5142857142857143,0.7801980198019802,0.6956521739130436,0.3693369336933694,0.3636363636363636,0.5865680837954405,0.6637955785242606,0.5909090909090909,0.5435501653803748,0.4272727272727273,0.2173913043478261,0.616504854368932,0.3636363636363636,0.4388888888888889,0.15384615384615383,0.3546666666666667,0.23928571428571432,0.3457446808510638,0.14173228346456693,0.025945945945945945,0.6194814295725298,0.6125319693094629,0.6191369606003753,0.0926347760060744,0.06873977086743044,0.304,0.42029795158286776,0.3985344406448461,0.777777777777778,0.6067724222086638,0.6227975548363898,0.8162544169611309,0.29449838187702265,0.26249999999999996,0.233,0.2876712328767123,0.3333333333333333,140.0,False,False,True,False,False,False
João Neves,0.28205128205128205,0.27505112474437626,0.25735294117647056,0.19801980198019803,0.7142857142857143,0.37425742574257426,0.16600790513833993,0.5556555655565557,0.30303030303030304,0.3857054836722119,0.39420040195233996,0.42424242424242437,0.28721058434399116,0.2723140495867769,0.2608695652173913,0.03398058252427185,0.0,0.11666666666666665,0.0,0.46933333333333327,0.17500000000000002,0.598404255319149,0.2755905511811023,0.04540540540540541,0.2740014015416959,0.3043478260869565,0.6791744840525329,0.10858010630220198,0.16039279869067102,0.609,0.5928305400372439,0.5827063996091842,0.8703703703703706,0.5048810250152532,0.5267889248471772,0.8215547703180213,0.045307443365695796,0.08750000000000001,0.5,0.14383561643835616,0.2222222222222222,140.0,False,False,True,False,False,False
Vitinha,0.48717948717948717,0.5593047034764826,0.029411764705882353,0.039603960396039604,0.5,0.2851485148514851,0.16600790513833993,0.08820882088208822,0.0909090909090909,1.0,1.0,0.3939393939393939,0.8313120176405734,0.6925619834710743,0.13043478260869568,0.2669902912621359,0.0,0.26111111111111107,0.20512820512820512,0.23733333333333334,0.4107142857142857,0.6742021276595744,0.1653543307086614,0.10054054054054054,0.15416958654519974,0.1982097186700767,0.7392120075046906,0.009111617312072893,0.027823240589198037,0.5710000000000001,1.0,1.0,0.9338624338624338,0.8422818791946308,0.8906868033081625,0.8798586572438163,0.04854368932038835,0.049999999999999996,0.28600000000000003,0.4931506849315068,0.37037037037037035,140.0,False,False,True,False,False,False
Bukayo Saka,0.5384615384615384,0.5947511929107021,0.2058823529411765,0.3069306930693069,0.4714285714285714,0.5683168316831684,0.43083003952569177,0.2958295829582958,0.3333333333333333,0.4081947011706716,0.46224519092736144,0.5757575757575759,0.38257993384785,0.36115702479338846,0.13043478260869568,0.587378640776699,0.3636363636363636,0.5833333333333334,0.41025641025641024,0.408,0.23214285714285718,0.5305851063829787,0.031496062992125984,0.04756756756756757,0.641906096706377,0.6342710997442454,0.6172607879924954,0.1457858769931663,0.14566284779050737,0.423,0.2074487895716946,0.16805080605764533,0.48148148148148157,0.44722391702257475,0.42682488313556266,0.7031802120141343,0.43851132686084143,0.53125,0.313,0.0821917808219178,0.3333333333333333,120.0,False,False,False,False,True,False
Désiré Doué,0.3333333333333333,0.2985685071574642,0.338235294117647,0.5247524752475248,0.41428571428571426,0.7227722772277227,0.49802371541501983,0.381938193819382,0.42424242424242425,0.6007393715341959,0.6270456503014642,0.4545454545454546,0.5209481808158766,0.359504132231405,0.1739130434782609,0.674757281553398,1.0,0.47777777777777775,0.1794871794871795,0.5306666666666667,0.28571428571428575,0.47473404255319146,0.10236220472440945,0.03567567567567568,0.7652417659425369,0.6649616368286445,0.5178236397748592,0.016704631738800307,0.011456628477905075,0.16699999999999998,0.4409683426443203,0.4063507572056669,0.7248677248677251,0.6699206833435022,0.6350233728874504,0.7226148409893994,0.47249190938511326,0.37499999999999994,0.204,0.18493150684931509,0.18518518518518517,120.0,False,False,True,False,False,False
Jamal Musiala,0.1282051282051282,0.0678254942058623,0.29411764705882354,0.6336633663366337,0.15714285714285714,0.7881188118811882,0.47035573122529645,0.3000300030003,0.48484848484848486,0.3915588416512631,0.36749928222796435,0.3181818181818181,0.34509371554575524,0.2958677685950414,0.5217391304347826,0.5776699029126213,0.0,0.15,0.6923076923076923,0.3546666666666667,0.09642857142857145,0.3949468085106383,0.0,0.014054054054054054,0.8381219341275403,0.7314578005115089,0.5215759849906192,0.0068337129840546715,0.044189852700491,1.0,0.2766294227188082,0.25481191988275526,0.6984126984126986,0.5109823062843197,0.5030564545127651,0.7491166077738518,0.08576051779935276,0.0,0.0,0.18493150684931509,0.25925925925925924,120.0,True,False,False,False,False,False
Declan Rice,0.6666666666666666,0.8926380368098159,0.08823529411764705,0.0891089108910891,0.5285714285714286,0.22970297029702968,0.15019762845849804,0.3000300030003,0.24242424242424243,0.46796056685150955,0.5311513063451048,0.5909090909090909,0.44652701212789414,0.43388429752066116,0.08695652173913043,0.11165048543689321,0.0,0.12777777777777777,0.0,0.5066666666666666,0.3821428571428572,0.5970744680851064,0.2755905511811023,0.2454054054054054,0.2025227750525578,0.23657289002557538,0.6960600375234521,0.14958238420653,0.23731587561374792,0.6759999999999999,0.49385474860335193,0.4628236443575965,0.7619047619047619,0.4829164124466137,0.488673139158576,0.7791519434628975,0.22006472491909387,0.27499999999999997,0.319,0.23972602739726026,0.4074074074074074,120.0,False,False,False,False,True,False
Cole Palmer,0.41025641025641024,0.5061349693251533,0.338235294117647,0.4752475247524752,0.45714285714285713,0.5801980198019803,0.45454545454545453,0.46864686468646866,0.5151515151515151,0.3555144793592114,0.4289405684754522,0.6666666666666667,0.3781697905181918,0.39504132231404965,0.1739130434782609,0.3786407766990291,0.15151515151515152,0.2777777777777778,0.0,0.272,0.2464285714285714,0.40691489361702127,0.0,0.05945945945945946,0.45970567624386827,0.37595907928388744,0.476547842401501,0.0,0.0,0.0,0.2660148975791434,0.24826575476306795,0.7195767195767198,0.4136668700427089,0.4282632146709816,0.7915194346289753,0.2524271844660194,0.14375,0.147,0.21917808219178084,0.037037037037037035,110.0,False,False,False,False,True,False
