LEAGUE,SEASON,CLUB
Premier League,2025,Manchester City
Premier League,2025,Arsenal FC
Premier League,2025,Chelsea FC
Premier League,2025,Liverpool FC
Premier League,2025,Tottenham Hotspur
Premier League,2025,Manchester United
Premier League,2025,Crystal Palace
Premier League,2025,Newcastle United
Premier League,2025,AFC Bournemouth
Premier League,2025,Nottingham Forest
Premier League,2025,Brighton & Hove Albion
Premier League,2025,Aston Villa
Premier League,2025,Brentford FC
Premier League,2025,West Ham United
Premier League,2025,Everton FC
Premier League,2025,Sunderland AFC
Premier League,2025,Wolverhampton Wanderers
Premier League,2025,Fulham FC
Premier League,2025,Leeds United
Premier League,2025,Burnley FC
Premier League,2026,Manchester City
Premier League,2026,Arsenal FC
Premier League,2026,Chelsea FC
Premier League,2026,Liverpool FC
Premier League,2026,Manchester United
Premier League,2026,Tottenham Hotspur
Premier League,2026,Newcastle United
Premier League,2026,Brighton & Hove Albion
Premier League,2026,Brentford FC
Premier League,2026,Crystal Palace
Premier League,2026,AFC Bournemouth
Premier League,2026,Aston Villa
Premier League,2026,Nottingham Forest
Premier League,2026,Sunderland AFC
Premier League,2026,Leeds United
Premier League,2026,Fulham FC
Premier League,2026,Everton FC
Premier League,2026,Ipswich Town
Premier League,2026,Coventry City
Premier League,2026,Hull City
La Liga,2025,Real Madrid
La Liga,2025,FC Barcelona
La Liga,2025,Atlético de Madrid
La Liga,2025,Villarreal CF
La Liga,2025,Real Sociedad
La Liga,2025,Real Betis Balompié
La Liga,2025,Athletic Bilbao
La Liga,2025,Celta de Vigo
La Liga,2025,Girona FC
La Liga,2025,Sevilla FC
La Liga,2025,Valencia CF
La Liga,2025,RCD Espanyol Barcelona
La Liga,2025,Elche CF
La Liga,2025,Levante UD
La Liga,2025,Rayo Vallecano
La Liga,2025,CA Osasuna
La Liga,2025,Getafe CF
La Liga,2025,RCD Mallorca
La Liga,2025,Deportivo Alavés
La Liga,2025,Real Oviedo
La Liga,2026,Real Madrid
La Liga,2026,FC Barcelona
La Liga,2026,Atlético de Madrid
La Liga,2026,Villarreal CF
La Liga,2026,Real Sociedad
La Liga,2026,Real Betis Balompié
La Liga,2026,Athletic Bilbao
La Liga,2026,Celta de Vigo
La Liga,2026,Sevilla FC
La Liga,2026,Valencia CF
La Liga,2026,RCD Espanyol Barcelona
La Liga,2026,Deportivo A Coruña
La Liga,2026,Racing Santander
La Liga,2026,Getafe CF
La Liga,2026,Levante UD
La Liga,2026,Rayo Vallecano
La Liga,2026,CA Osasuna
La Liga,2026,Elche CF
La Liga,2026,Deportivo Alavés
La Liga,2026,Málaga CF
Bundesliga,2025,Bayern Munich
Bundesliga,2025,RB Leipzig
