NAME,LEAGUE,STATUS,MATCH_METHOD,MATCHED_NAME,MATCHED_CLUB,TM_MARKET_VALUE_M_EUR,AGE,POSITION,POSITION_RAW,CONTRACT_EXPIRY,PROFILE_URL
Aaron Hickey,Premier League,OK,league,Aaron Hickey,Brentford FC,16.0,24.0,FB,Right-Back,2028.0,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949
Aaron Wan-Bissaka,Premier League,OK,league,Aaron Wan-Bissaka,Aston Villa,15.0,28.0,FB,Right-Back,2027.0,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
Aaron Zehnter,Bundesliga,OK,league,Aaron Zehnter,VfL Wolfsburg,5.0,21.0,FB,Left-Back,2030.0,https://www.transfermarkt.com/aaron-zehnter/profil/spieler/730484
Aarón Martín,La Liga,OK,manual_link,Aarón Martín,Racing Santander,5.0,29,FB,Left-Back,2027,https://www.transfermarkt.com/aaron-martin/profil/spieler/251878
Abdallah Sima,Ligue 1,OK,league,Abdallah Sima,RC Lens,5.0,25.0,W,Left Winger,2029.0,https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798
Abde Ezzalzouli,La Liga,OK,league,Abde Ezzalzouli,Real Betis Balompié,40.0,24.0,W,Left Winger,2029.0,https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520
Abde Rebbach,La Liga,OK,league,Abde Rebbach,Deportivo Alavés,2.5,28.0,W,Left Winger,2028.0,https://www.transfermarkt.com/abde-rebbach/profil/spieler/718034
Abdel Abqar,La Liga,OK,league,Abdel Abqar,Getafe CF,3.5,27.0,CB,Centre-Back,2028.0,https://www.transfermarkt.com/abdel-abqar/profil/spieler/559979
Abdelhamid Aït Boudlal,Ligue 1,OK,league,Abdelhamid Ait Boudlal,Stade Rennais FC,12.0,20.0,CB,Centre-Back,2028.0,https://www.transfermarkt.com/abdelhamid-ait-boudlal/profil/spieler/1134251
Abdou Harroui,Serie A,OK,league,Abdou Harroui,Hellas Verona,1.6,28.0,CM,Central Midfield,2028.0,https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386
Abdoul Ouattara,Ligue 1,OK,unique_name,Abdoul Ouattara,Ipswich Town,15.0,20.0,FB,Right-Back,2031.0,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487
Abdoulaye Faye,Ligue 1,OK,unique_name,Abdoulaye Faye,Celta de Vigo,4.5,21.0,CB,Centre-Back,2027.0,https://www.transfermarkt.com/abdoulaye-faye/profil/spieler/1182738
