NAME,LEAGUE,MARKET_VALUE_M_EUR,AGE_IN_DATA,AGE_LOOKS_WRONG,AGE,POSITION,CONTRACT_EXPIRY
Albian Hajdari,Bundesliga,25.0,22,,,,
Aleix García,Bundesliga,20.0,28,,,,
Alejandro Grimaldo,Bundesliga,20.0,30,,,,
Aleksandar Pavlovic,Bundesliga,90.0,27,,,,
Angelo Stiller,Bundesliga,45.0,24,,,,
Antonio Nusa,Bundesliga,32.0,20,,,,
Arnaud Kalimuendo,Bundesliga,25.0,23,,,,
Arthur Theate,Bundesliga,20.0,25,,,,
Assan Ouédraogo,Bundesliga,28.0,19,,,,
Can Uzun,Bundesliga,45.0,20,,,,
Carney Chukwuemeka,Bundesliga,20.0,22,,,,
Castello Lukeba,Bundesliga,50.0,23,,,,
Chema Andres,Bundesliga,20.0,20,,,,
Chrislain Matsima,Bundesliga,22.0,23,,,,
Christoph Baumgartner,Bundesliga,40.0,26,,,,
Conrad Harder,Bundesliga,20.0,20,,,,
Daniel Svensson,Bundesliga,22.0,23,,,,
David Raum,Bundesliga,25.0,27,,,,
Dayot Upamecano,Bundesliga,75.0,35,,,,
Deniz Undav,Bundesliga,22.0,29,,,,
Ermedin Demirovic,Bundesliga,22.0,27,,,,
Ernest Poku,Bundesliga,25.0,21,,,,
Felix Nmecha,Bundesliga,55.0,25,,,,
Finn Jeltsch,Bundesliga,35.0,19,,,,
Fisnik Asllani,Bundesliga,35.0,23,,,,
Fábio Silva,Bundesliga,22.0,23,,,,
Harry Kane,Bundesliga,60.0,32,,,,
Hugo Larsson,Bundesliga,32.0,21,,,,
Igor Matanovic,Bundesliga,22.0,22,,,,
Jamal Musiala,Bundesliga,120.0,22,,,,
Jamie Leweling,Bundesliga,40.0,24,,,,
Jarell Quansah,Bundesliga,45.0,22,,,,
Jean-Mattéo Bahoya,Bundesliga,25.0,20,,,,
Jobe Bellingham,Bundesliga,40.0,20,,,,
Johan Bakayoko,Bundesliga,22.0,22,,,,
Johan Manzambi,Bundesliga,65.0,20,,,,
Jonathan Burkardt,Bundesliga,30.0,25,,,,
Jonathan Tah,Bundesliga,28.0,29,,,,
Joshua Kimmich,Bundesliga,35.0,30,,,,
Josip Stanisic,Bundesliga,40.0,25,,,,
Julian Ryerson,Bundesliga,25.0,28,,,,
Karim Adeyemi,Bundesliga,50.0,23,,,,
Karim Coulibaly,Bundesliga,28.0,18,,,,
Konrad Laimer,Bundesliga,32.0,28,,,,
Konstantinos Koulierakis,Bundesliga,25.0,22,,,,
Lennart Karl,Bundesliga,60.0,17,,,,
Leon Avdullahu,Bundesliga,30.0,21,,,,
Leopold Querfeld,Bundesliga,20.0,22,,,,
Loïc Badé,Bundesliga,25.0,25,,,,
Luka Vuskovic,Bundesliga,60.0,18,,,,
Maximilian Beier,Bundesliga,40.0,23,,,,
Michael Olise,Bundesliga,170.0,24,,,,
Nathaniel Brown,Bundesliga,50.0,22,,,,
Nico Schlotterbeck,Bundesliga,55.0,26,,,,
Nicolas Seiwald,Bundesliga,25.0,24,,,,
Nnamdi Collins,Bundesliga,20.0,21,,,,
Patrik Schick,Bundesliga,20.0,29,,,,
Ramon Hendriks,Bundesliga,25.0,24,,,,
Rocco Reitz,Bundesliga,20.0,23,,,,
Saïd El Mala,Bundesliga,45.0,19,,,,
Tom Bischof,Bundesliga,40.0,20,,,,
Wouter Burger,Bundesliga,20.0,24,,,,
Brajan Gruda,Bundesliga / Premier League,28.0,21,,,,
